Title,Author,Date,Link
The Living Bread Which Came Down from Heaven,D. Todd Christofferson,2017-10,https://www.lds.org/general-conference/2017/10/the-living-bread-which-came-down-from-heaven?lang=eng
Be Ye Therefore PerfectEventually,Jeffrey R. Holland,2017-10,https://www.lds.org/general-conference/2017/10/be-ye-therefore-perfect-eventually?lang=eng
The Sustaining of Church Officers,Henry B. Eyring,2017-10,https://www.lds.org/general-conference/2017/10/the-sustaining-of-church-officers?lang=eng
Spiritual Eclipse,Gary E. Stevenson,2017-10,https://www.lds.org/general-conference/2017/10/spiritual-eclipse?lang=eng
Repentance Is Always Positive,Stephen W. Owen,2017-10,https://www.lds.org/general-conference/2017/10/repentance-is-always-positive?lang=eng
The Eternal Everyday,Quentin L. Cook,2017-10,https://www.lds.org/general-conference/2017/10/the-eternal-everyday?lang=eng
By Divine Design,Ronald A. Rasband,2017-10,https://www.lds.org/general-conference/2017/10/by-divine-design?lang=eng
The Heart of the Widow,O. Vincent Haleck,2017-10,https://www.lds.org/general-conference/2017/10/the-heart-of-the-widow?lang=eng
The Book of Mormon: What Would Your Life Be Like without It,Russell M. Nelson,2017-10,https://www.lds.org/general-conference/2017/10/the-book-of-mormon-what-would-your-life-be-like-without-it?lang=eng
The Priesthood and the Saviors Atoning Power,Dale G. Renlund,2017-10,https://www.lds.org/general-conference/2017/10/the-priesthood-and-the-saviors-atoning-power?lang=eng
The Truth of All Things,David F. Evans,2017-10,https://www.lds.org/general-conference/2017/10/the-truth-of-all-things?lang=eng
Earning the Trust of the Lord and Your Family,Richard J. Maynes,2017-10,https://www.lds.org/general-conference/2017/10/earning-the-trust-of-the-lord-and-your-family?lang=eng
Bearers of Heavenly Light,Dieter F. Uchtdorf,2017-10,https://www.lds.org/general-conference/2017/10/bearers-of-heavenly-light?lang=eng
The Lord Leads His Church,Henry B. Eyring,2017-10,https://www.lds.org/general-conference/2017/10/the-lord-leads-his-church?lang=eng
That Your Joy Might Be Full,Jean B. Bingham,2017-10,https://www.lds.org/general-conference/2017/10/that-your-joy-might-be-full?lang=eng
Has the Day of Miracles Ceased,Donald L. Hallstrom,2017-10,https://www.lds.org/general-conference/2017/10/has-the-day-of-miracles-ceased?lang=eng
Exceeding Great and Precious Promises,David A. Bednar,2017-10,https://www.lds.org/general-conference/2017/10/exceeding-great-and-precious-promises?lang=eng
Turn to the Lord,W. Christopher Waddell,2017-10,https://www.lds.org/general-conference/2017/10/turn-to-the-lord?lang=eng
